Display,Topic,Type,Answer Type,PMI System,PMI Code,Parent code,Date of Last Update
Family History,Module,Module Name,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyHistory,,4/24/2017
Do you know your family’s medical history? Please think only of those family members you are related to by blood.,Family History,Question,open-choice,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyHistory_FamilyMedicalHistoryAware,FamilyHistory,4/24/2017
"Please indicate which family members, if any, have ever been diagnosed with the following health conditions and/or health events. Think only of those people you are related to by blood. (select all that apply)",Family History,Question,open-choice,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyHistory_FamilyMembersDiagnosed,FamilyHistory,4/24/2017
A lot,Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMedicalHistoryAware_Alot,FamilyHistory_FamilyMedicalHistoryAware,4/24/2017
No,Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMedicalHistoryAware_No,FamilyHistory_FamilyMedicalHistoryAware,4/24/2017
None at all,Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMedicalHistoryAware_None,FamilyHistory_FamilyMedicalHistoryAware,4/24/2017
Some,Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMedicalHistoryAware_Some,FamilyHistory_FamilyMedicalHistoryAware,4/24/2017
Yes,Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMedicalHistoryAware_Yes,FamilyHistory_FamilyMedicalHistoryAware,4/24/2017
Immediate Family,Immediate Family,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyHistory_ImmediateFamilyHistory,FamilyHistory,4/24/2017
Has anyone in your immediate family ever been diagnosed with any other health conditions?,Immediate Family,Question,boolean,http://terminology.pmi-ops.org/CodeSystem/ppi,ImmediateFamilyHistory_ImmediateFamilyDiagnosisHistory,FamilyHistory_ImmediateFamilyHistory,4/24/2017
No,Immediate Family,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,ImmediateFamilyDiagnosisHistory_No,ImmediateFamilyHistory_ImmediateFamilyDiagnosisHistory,4/24/2017
Yes,Immediate Family,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,ImmediateFamilyDiagnosisHistory_Yes,ImmediateFamilyHistory_ImmediateFamilyDiagnosisHistory,4/24/2017
Daughter(s),Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_Daughter,FamilyHistory_FamilyMembersDiagnosed,4/24/2017
Don’t Know,Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_DontKnow,FamilyHistory_FamilyMembersDiagnosed,4/24/2017
Father,Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_Father,FamilyHistory_FamilyMembersDiagnosed,4/24/2017
Grandparent(s),Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_Grandparent,FamilyHistory_FamilyMembersDiagnosed,4/24/2017
Mother,Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_Mother,FamilyHistory_FamilyMembersDiagnosed,4/24/2017
Sibling(s) [people with the same mother and/or father as you],Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_Sibling,FamilyHistory_FamilyMembersDiagnosed,4/24/2017
Son(s),Family History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_Son,FamilyHistory_FamilyMembersDiagnosed,4/24/2017
Brain cancer,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_BrainCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
Breast cancer,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_BreastCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
Cervical cancer,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_CervicalCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
Colon cancer/Rectal cancer,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_ColonRectalCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
"Head and neck (This includes cancers of the mouth, sinuses, nose, or throat. This does not include brain cancer.)",Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_HeadNeckCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
Kidney cancer,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_KidneyCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
Lung cancer,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_LungCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
Other cancer (Please specify: (free text answer)),Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_OtherCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
Prostate cancer,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_ProstateCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
Skin cancer,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_SkinCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
Stomach cancer,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_StomachCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
Thyroid cancer,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CancerCondition_ThyroidCancer,DiagnosedHealthCondition_CancerCondition,4/24/2017
"Atrial fibrillation (or a-fib) or atrial flutter (or a-flutter). (These conditions cause irregular, often fast, heart beats that can cause poor blood flow. A-fib and a-flutter are not the same as a heart murmur.)",Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CirculatoryCondition_AtrialFibrilation,DiagnosedHealthCondition_CirculatoryCondition,4/24/2017
Congestive heart failure,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CirculatoryCondition_CongestiveHeartFailure,DiagnosedHealthCondition_CirculatoryCondition,4/24/2017
Coronary artery/coronary heart disease (included angina),Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CirculatoryCondition_CoronaryArteryHeartDisease,DiagnosedHealthCondition_CirculatoryCondition,4/24/2017
Heart attack,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CirculatoryCondition_HeartAttack,DiagnosedHealthCondition_CirculatoryCondition,4/24/2017
High blood pressure (Hypertension),Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CirculatoryCondition_HighBloodPressure,DiagnosedHealthCondition_CirculatoryCondition,4/24/2017
High cholesterol,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CirculatoryCondition_HighCholesterol,DiagnosedHealthCondition_CirculatoryCondition,4/24/2017
Pulmonary embolism or deep vein thrombosis (DVT),Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CirculatoryCondition_PulmonaryEmbolismThrombosis,DiagnosedHealthCondition_CirculatoryCondition,4/24/2017
Stroke,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,CirculatoryCondition_Stroke,DiagnosedHealthCondition_CirculatoryCondition,4/24/2017
Allergies or hay fever,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_Allergies,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Anemia (low number of red blood cells),Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_Anemia,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Cancer:,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_CancerCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Circulatory System Conditions:,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_CirculatoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Digestive System Conditions:,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DigestiveCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Endocrine Conditions:,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_EndocrineCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Kidney-Related Conditions:,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_KidneyCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
"Liver condition (e.g., cirrhosis)",Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_LiverCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Mental Health Conditions:,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MentalCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Nervous System Conditions:,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_NervousCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Obesity,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_Obesity,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Respiratory Conditions:,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_RespiratoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
"Sickle cell disease, sickle cell trait, thalassemia",Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SickleCell,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Skeletal/Muscular Conditions:,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SkeletalMuscularCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
