Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
PMI,PMI,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,PMI,,4/24/2017
PMI Skip,PMI,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PMI_Skip,PMI,4/24/2017
PMI Prefer Not To Answer,PMI,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PMI_PreferNotToAnswer,PMI,4/24/2017
PMI Other (Qualifier Value),PMI,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PMI_Other,PMI,4/24/2017
PMI Free Text Answer,PMI,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PMI_FreeText,PMI,5/26/2017
PMI Question Unanswered,PMI,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PMI_Unanswered,PMI,4/24/2017
PMI Don't Know,PMI,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PMI_DontKnow,PMI,4/24/2017
PMI Not Sure,PMI,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PMI_NotSure,PMI,4/24/2017
None,PMI,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PMI_None,PMI,5/17/2017
Does Not Apply To Me,PMI,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PMI_DoesNotApplyToMe,PMI,5/23/2017
Alabama,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_AL,PMI,4/24/2017
Alaska,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_AK,PMI,4/24/2017
American Samoa,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_AS,PMI,4/24/2017
Arizona,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_AZ,PMI,4/24/2017
Arkansas,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_AR,PMI,4/24/2017
California,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_CA,PMI,4/24/2017
Colorado,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_CO,PMI,4/24/2017
Connecticut,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_CT,PMI,4/24/2017
District of Columbia,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_DC,PMI,4/24/2017
Delaware,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_DE,PMI,4/24/2017
Federated States of Micronesia,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_FM,PMI,4/24/2017
Florida,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_FL,PMI,4/24/2017
Georgia,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_GA,PMI,4/24/2017
Guam,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_GU,PMI,4/24/2017
Hawaii,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_HI,PMI,4/24/2017
Idaho,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_ID,PMI,4/24/2017
Illinois,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_IL,PMI,4/24/2017
Indiana,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_IN,PMI,4/24/2017
Iowa,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_IA,PMI,4/24/2017
Kansas,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_KS,PMI,4/24/2017
Kentucky,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_KY,PMI,4/24/2017
Louisiana,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_LA,PMI,4/24/2017
Maine,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_ME,PMI,4/24/2017
Marshall Islands,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_MH,PMI,4/24/2017
Maryland,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_MD,PMI,4/24/2017
Massachusetts,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_MA,PMI,4/24/2017
Michigan,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_MI,PMI,4/24/2017
Minnesota,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_MN,PMI,4/24/2017
Mississippi,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_MS,PMI,4/24/2017
Missouri,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_MO,PMI,4/24/2017
Montana,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_MT,PMI,4/24/2017
Nebraska,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_NE,PMI,4/24/2017
Nevada,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_NV,PMI,4/24/2017
New Hampshire,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_NH,PMI,4/24/2017
New Jersey,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_NJ,PMI,4/24/2017
New Mexico,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_NM,PMI,4/24/2017
New York,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_NY,PMI,4/24/2017
North Carolina,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_NC,PMI,4/24/2017
North Marianas Islands,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_MP,PMI,4/24/2017
North Dakota,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_ND,PMI,4/24/2017
Ohio,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_OH,PMI,4/24/2017
Oklahoma,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_OK,PMI,4/24/2017
Oregon,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_OR,PMI,4/24/2017
Palau,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_PW,PMI,4/24/2017
Pennsylvania,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_PA,PMI,4/24/2017
Puerto Rico,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_PR,PMI,4/24/2017
Rhode Island,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_RI,PMI,4/24/2017
South Carolina,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_SC,PMI,4/24/2017
South Dakota,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_SD,PMI,4/24/2017
Tennessee,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_TN,PMI,4/24/2017
Texas,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_TX,PMI,4/24/2017
Utah,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_UT,PMI,4/24/2017
Vermont,States,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,PIIState_VT,PMI,4/24/2017
